epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
100,3399.32,1.13325,1.17668,0.01592,0.86187,0.64023,0.73443,0.47267,1.29029,1.2017,0.02705,0.00102555,0.00102555,0.00102555
101,3433.82,1.1089,1.17852,0.01552,0.84107,0.65966,0.73235,0.47488,1.31356,1.23038,0.02771,0.00101,0.00101,0.00101
102,3468.81,1.10433,1.17459,0.01529,0.86124,0.65722,0.73899,0.46682,1.30029,1.24842,0.02745,0.00099445,0.00099445,0.00099445
103,3502.39,1.10412,1.17435,0.01585,0.87129,0.65203,0.74691,0.47919,1.28715,1.18847,0.02677,0.000978903,0.000978903,0.000978903
104,3536.65,1.08421,1.1291,0.0151,0.82397,0.67422,0.75405,0.48528,1.27523,1.13142,0.02652,0.000963365,0.000963365,0.000963365
105,3570.71,1.1074,1.15984,0.01573,0.82519,0.66572,0.75976,0.49193,1.2663,1.10603,0.02637,0.000947837,0.000947837,0.000947837
106,3604.73,1.08382,1.16256,0.01533,0.82149,0.66487,0.74012,0.47434,1.3045,1.16626,0.02744,0.000932325,0.000932325,0.000932325
107,3638.05,1.08447,1.13459,0.01529,0.80193,0.68555,0.75856,0.49049,1.25321,1.15144,0.02599,0.000916833,0.000916833,0.000916833
108,3671.3,1.06993,1.14347,0.01492,0.8949,0.62713,0.7577,0.48707,1.28463,1.16335,0.02661,0.000901363,0.000901363,0.000901363
109,3704.78,1.08205,1.11034,0.0148,0.82496,0.64589,0.73975,0.4811,1.2804,1.14384,0.027,0.00088592,0.00088592,0.00088592
110,3738.37,1.05752,1.0872,0.01479,0.84207,0.66458,0.74297,0.47483,1.31598,1.15345,0.0278,0.000870508,0.000870508,0.000870508
111,3771.95,1.06917,1.08944,0.01461,0.83856,0.67422,0.75882,0.47787,1.30656,1.19598,0.0272,0.00085513,0.00085513,0.00085513
112,3806.09,1.06527,1.11193,0.01487,0.8677,0.64306,0.7481,0.48274,1.2974,1.20785,0.02632,0.00083979,0.00083979,0.00083979
113,3839.47,1.036,1.06857,0.01461,0.86926,0.66856,0.7567,0.48785,1.28783,1.18789,0.02628,0.000824492,0.000824492,0.000824492
114,3872.84,1.05765,1.08782,0.01459,0.81127,0.69688,0.75751,0.47897,1.3202,1.1499,0.02774,0.000809241,0.000809241,0.000809241
115,3906.17,1.05927,1.0919,0.01488,0.82615,0.67989,0.75473,0.48195,1.30045,1.11687,0.02701,0.000794038,0.000794038,0.000794038
116,3939.54,1.06768,1.13476,0.01519,0.85065,0.66152,0.7346,0.46812,1.32421,1.22537,0.02775,0.000778889,0.000778889,0.000778889
117,3972.76,1.03765,1.10793,0.01453,0.83857,0.67139,0.73878,0.47248,1.33944,1.23406,0.02849,0.000763797,0.000763797,0.000763797
118,4006.17,1.054,1.07485,0.01468,0.81751,0.67261,0.74929,0.4796,1.31833,1.19728,0.02753,0.000748766,0.000748766,0.000748766
119,4039.55,1.03405,1.07535,0.01435,0.86554,0.6747,0.76635,0.49211,1.32419,1.10095,0.02727,0.000733799,0.000733799,0.000733799
120,4073.83,1.03633,1.05076,0.01428,0.86686,0.66402,0.76431,0.4907,1.30229,1.13709,0.02691,0.0007189,0.0007189,0.0007189
121,4107.54,1.03453,1.06714,0.01449,0.82406,0.67667,0.75444,0.48211,1.30242,1.19889,0.02702,0.000704073,0.000704073,0.000704073
122,4142.55,1.01743,1.02846,0.01403,0.85571,0.66289,0.751,0.48648,1.29947,1.19075,0.02672,0.000689322,0.000689322,0.000689322
123,4175.87,1.01313,1.0376,0.0144,0.8273,0.69209,0.75767,0.49394,1.30477,1.11965,0.02674,0.000674649,0.000674649,0.000674649
124,4213.39,0.98619,1.00279,0.0135,0.84075,0.68272,0.76808,0.50127,1.30372,1.11244,0.02691,0.00066006,0.00066006,0.00066006
125,4247.4,1.01975,1.05402,0.01401,0.89792,0.66289,0.76036,0.49158,1.23802,1.17258,0.02521,0.000645557,0.000645557,0.000645557
126,4280.79,0.99347,1.02959,0.01411,0.86222,0.65592,0.75176,0.48678,1.2892,1.16231,0.02636,0.000631143,0.000631143,0.000631143
127,4314.41,1.01393,1.03645,0.01411,0.89574,0.64023,0.754,0.48824,1.29101,1.14469,0.02674,0.000616824,0.000616824,0.000616824
128,4349.13,1.00947,1.04631,0.01387,0.8507,0.67422,0.75492,0.48089,1.27755,1.16826,0.02594,0.000602601,0.000602601,0.000602601
129,4382.79,1.00449,1.03231,0.01403,0.80569,0.69405,0.75565,0.48247,1.27599,1.20622,0.02636,0.000588479,0.000588479,0.000588479
130,4416.33,0.98625,1.0111,0.01355,0.87647,0.66326,0.75155,0.49309,1.25221,1.18683,0.02587,0.00057446,0.00057446,0.00057446
131,4449.82,0.98961,1.03215,0.01362,0.80012,0.69405,0.74568,0.48607,1.28692,1.1681,0.02629,0.000560549,0.000560549,0.000560549
132,4483.91,0.98508,0.98556,0.0137,0.83735,0.67139,0.7444,0.48484,1.27918,1.24789,0.02615,0.000546749,0.000546749,0.000546749
133,4517.26,0.96761,0.98347,0.01359,0.80906,0.69405,0.73321,0.47562,1.28541,1.23982,0.02647,0.000533064,0.000533064,0.000533064
134,4550.53,0.9823,0.99398,0.01393,0.86544,0.67413,0.7428,0.48231,1.3011,1.198,0.02635,0.000519496,0.000519496,0.000519496
135,4583.82,0.97526,1.0048,0.01335,0.92491,0.64306,0.74812,0.4959,1.29694,1.18781,0.02661,0.000506049,0.000506049,0.000506049
136,4617.23,0.98871,1.00913,0.01364,0.85805,0.68839,0.76386,0.50102,1.26697,1.14602,0.02532,0.000492726,0.000492726,0.000492726
137,4650.77,0.9781,0.98868,0.01348,0.85016,0.69112,0.75411,0.49426,1.31043,1.15439,0.02638,0.000479531,0.000479531,0.000479531
138,4684.38,0.97955,1.00256,0.01351,0.86846,0.68839,0.75053,0.49638,1.29089,1.18457,0.02612,0.000466467,0.000466467,0.000466467
139,4717.98,0.95416,0.95491,0.01308,0.84618,0.68555,0.7519,0.49927,1.28147,1.18156,0.02598,0.000453537,0.000453537,0.000453537
140,4751.57,0.96858,0.97968,0.01291,0.84714,0.67506,0.75622,0.49817,1.30544,1.19436,0.02672,0.000440745,0.000440745,0.000440745
141,4784.97,0.96137,0.98716,0.01304,0.82223,0.68136,0.75473,0.49416,1.26017,1.2201,0.02567,0.000428093,0.000428093,0.000428093
142,4819.11,0.95156,0.97935,0.01326,0.88914,0.63618,0.75776,0.49705,1.27866,1.18166,0.02596,0.000415584,0.000415584,0.000415584
143,4852.51,0.97344,0.98952,0.01326,0.81892,0.67899,0.75537,0.49749,1.28706,1.14769,0.02623,0.000403222,0.000403222,0.000403222
144,4885.83,0.94737,0.9695,0.01319,0.89489,0.65121,0.75179,0.49865,1.29839,1.17901,0.02652,0.00039101,0.00039101,0.00039101
145,4919.25,0.95544,0.96513,0.01345,0.89297,0.64023,0.75338,0.49045,1.31881,1.12904,0.02698,0.00037895,0.00037895,0.00037895
146,4952.61,0.93921,0.95718,0.01302,0.90575,0.65337,0.75945,0.49727,1.2651,1.1716,0.02569,0.000367046,0.000367046,0.000367046
147,4986,0.95161,0.97572,0.01299,0.9042,0.63173,0.75176,0.4957,1.29728,1.18959,0.02629,0.000355301,0.000355301,0.000355301
148,5019.39,0.94942,0.97111,0.01335,0.85337,0.65156,0.74551,0.49239,1.29935,1.19941,0.02654,0.000343718,0.000343718,0.000343718
149,5052.72,0.90607,0.93984,0.01239,0.89066,0.64023,0.75372,0.49362,1.28227,1.20319,0.02596,0.000332298,0.000332298,0.000332298
150,5086.14,0.93233,0.94279,0.01262,0.86504,0.67139,0.75912,0.50187,1.29366,1.15208,0.02627,0.000321046,0.000321046,0.000321046
151,5120.4,0.92876,0.95392,0.01276,0.87363,0.66586,0.75485,0.50273,1.27108,1.17448,0.02543,0.000309964,0.000309964,0.000309964
152,5155.35,0.92323,0.96415,0.01255,0.88966,0.66289,0.75029,0.50388,1.23788,1.17306,0.02488,0.000299055,0.000299055,0.000299055
153,5189.4,0.93794,0.9732,0.01301,0.87755,0.66999,0.7454,0.49485,1.27914,1.15139,0.02578,0.000288321,0.000288321,0.000288321
154,5222.66,0.92816,0.93115,0.01307,0.87443,0.65439,0.75064,0.49939,1.25931,1.19245,0.025,0.000277765,0.000277765,0.000277765
155,5255.83,0.92972,0.94659,0.01284,0.89065,0.65722,0.7441,0.49922,1.26697,1.19627,0.02522,0.00026739,0.00026739,0.00026739
156,5288.94,0.90697,0.95234,0.01281,0.88811,0.64589,0.74094,0.49533,1.27144,1.18283,0.02551,0.000257198,0.000257198,0.000257198
157,5322.24,0.93411,0.93649,0.01248,0.88281,0.66157,0.7566,0.49384,1.28262,1.14301,0.02583,0.000247192,0.000247192,0.000247192
158,5355.37,0.91838,0.96707,0.01275,0.87523,0.65579,0.75509,0.49894,1.28121,1.17038,0.02585,0.000237374,0.000237374,0.000237374
159,5388.55,0.92433,0.95318,0.01276,0.83912,0.66572,0.73639,0.49406,1.26245,1.22552,0.02511,0.000227747,0.000227747,0.000227747
160,5421.7,0.91794,0.94189,0.01245,0.81375,0.66838,0.74538,0.49591,1.26426,1.21482,0.02498,0.000218312,0.000218312,0.000218312
161,5454.87,0.90764,0.93822,0.01246,0.87496,0.64306,0.74657,0.49523,1.27648,1.19872,0.02557,0.000209073,0.000209073,0.000209073
162,5488.77,0.91152,0.9481,0.01273,0.87577,0.66856,0.75796,0.51117,1.25005,1.16123,0.02476,0.000200032,0.000200032,0.000200032
163,5522.65,0.91532,0.9405,0.0126,0.86457,0.66916,0.75577,0.5062,1.27465,1.17111,0.02495,0.00019119,0.00019119,0.00019119
164,5555.79,0.89244,0.91547,0.01227,0.84682,0.67342,0.75595,0.49963,1.27859,1.20383,0.02517,0.000182551,0.000182551,0.000182551
165,5588.94,0.88663,0.90802,0.01208,0.86896,0.65751,0.74655,0.4973,1.26482,1.21462,0.02504,0.000174115,0.000174115,0.000174115
166,5622.13,0.88404,0.91543,0.01199,0.88366,0.63739,0.73689,0.49645,1.26755,1.2182,0.02506,0.000165886,0.000165886,0.000165886
167,5655.31,0.9064,0.92037,0.01233,0.8858,0.6592,0.7506,0.50592,1.25599,1.17224,0.02481,0.000157865,0.000157865,0.000157865
168,5688.41,0.90743,0.93082,0.01245,0.90234,0.63739,0.74878,0.50219,1.26613,1.14652,0.02512,0.000150055,0.000150055,0.000150055
169,5721.52,0.89318,0.91017,0.01204,0.88752,0.64873,0.74763,0.49603,1.28552,1.16964,0.02553,0.000142456,0.000142456,0.000142456
170,5754.73,0.86867,0.90364,0.01226,0.88638,0.63456,0.74311,0.49948,1.28103,1.18528,0.0255,0.000135072,0.000135072,0.000135072
171,5788.42,0.91035,0.90468,0.01239,0.85521,0.65722,0.74795,0.49613,1.2933,1.17847,0.02564,0.000127904,0.000127904,0.000127904
172,5822.35,0.91198,0.93458,0.0124,0.90432,0.64261,0.75561,0.49997,1.28341,1.1587,0.0256,0.000120953,0.000120953,0.000120953
173,5855.46,0.86515,0.90448,0.0119,0.86616,0.67831,0.75624,0.50326,1.27232,1.15259,0.02535,0.000114221,0.000114221,0.000114221
174,5888.71,0.88106,0.90679,0.01198,0.88024,0.67422,0.75236,0.49572,1.28732,1.15719,0.02597,0.000107711,0.000107711,0.000107711
175,5921.84,0.87593,0.91101,0.01202,0.91079,0.63632,0.74617,0.4949,1.28705,1.18108,0.0258,0.000101423,0.000101423,0.000101423
176,5955.09,0.87714,0.9001,0.01215,0.9185,0.6289,0.74659,0.49441,1.29543,1.17225,0.02594,9.53593e-05,9.53593e-05,9.53593e-05
177,5988.29,0.86678,0.88933,0.01193,0.87607,0.65439,0.74326,0.48635,1.29931,1.17001,0.02587,8.95213e-05,8.95213e-05,8.95213e-05
178,6021.6,0.90749,0.91652,0.01258,0.89559,0.65608,0.7522,0.49975,1.28853,1.15909,0.02557,8.39104e-05,8.39104e-05,8.39104e-05
179,6054.87,0.87452,0.88606,0.012,0.88986,0.66374,0.7526,0.50436,1.29099,1.14347,0.02556,7.8528e-05,7.8528e-05,7.8528e-05
180,6087.96,0.87575,0.90735,0.01204,0.87576,0.67705,0.75168,0.50547,1.27807,1.16589,0.02522,7.33755e-05,7.33755e-05,7.33755e-05
